,1,2,3,4,5
1,,,1.0,,1.0
4+,2.0,,,,
More than once,79.0,36.0,46.0,66.0,285.0
My issue is not resolved,138.0,61.0,43.0,29.0,72.0
Once,29.0,34.0,49.0,121.0,1523.0
