,1,2,3,4,5
Email,131.0,74.0,70.0,81.0,422
Engagement Outbound Call,1.0,,,,3
Live Chat,105.0,88.0,77.0,149.0,1008
LiveOps Inbound Support Call,174.0,98.0,114.0,196.0,1835
Social Media,,3.0,3.0,1.0,5
Text Message,78.0,47.0,47.0,66.0,781
Voicemail,2.0,2.0,3.0,,3
Web,82.0,46.0,49.0,58.0,273
